id,soundtracks_id,soundtracks_name,soundtracks_comment
tt11858890,/title/tt11858890/soundtracks/sn2739951,Fly Me To The Moon (In Other Words),"Written by Bart Howard
Performed by Astrud Gilberto
Courtesy of The Verve Music Group
Under license from Universal Music Operations Ltd."
tt11858890,/title/tt11858890/soundtracks/sn2739952,Evergood,"Written and Performed by Berl Olswanger
Courtesy of Anna Olswanger
By arrangement with Gravelpit Music,
CAPP Records Inc. & Music Supervisor, Inc."
tt11858890,/title/tt11858890/soundtracks/sn2739953,Pan De Azucar,"Written by Nora Orlandi
Performed by Nora Orlandi and Franco Tonani
Courtesy of Sonor Music Editions,
In association with Now-Again Records"
tt11858890,/title/tt11858890/soundtracks/sn2739954,Clair de Lune,"Arranged and Performed by Eric Hachikian
Courtesy of EVH Arts Inc."
tt11858890,/title/tt11858890/soundtracks/sn2739955,Len's Sinker,"Written by Leonard Collins, Leonard Petze,
James Petze and Raymond Pizzi
Performed by The Rondels
Courtesy of Fervor Records"
tt11858890,/title/tt11858890/soundtracks/sn2739956,Everything In Its Right Place,"Written by Thom Yorke (as Thomas Yorke), Jonny Greenwood, Colin Greenwood, Ed O'Brien and Phil Selway
Performed by Radiohead
Licensed courtesy of XL Recordings Ltd."
tt11858890,/title/tt11858890/soundtracks/sn2739957,Into The Wind,"Written and Performed by Eric Hachikian
Courtesy of EVH Arts Inc."
tt11858890,/title/tt11858890/soundtracks/sn2739958,Child In Time,"Written by Richard Blackmore, Ian Gillan, Roger Glover, Jon Lord and Ian Paice
Performed by Deep Purple
Courtesy of Warner Records and Warner Music UK Ltd.
By arrangement with Warner Music Group Film & TV Licensing"
tt11858890,/title/tt11858890/soundtracks/sn2739959,Who Shot The Cannon,"Written and Performed by Sherwin Linton
Courtesy of Open Vault Music"
tt11858890,/title/tt11858890/soundtracks/sn2739960,Flight Of The Rat,"Written by Richard Blackmore, Ian Gillan, Roger Glover, Jon Lord and Ian Paice
Performed by Deep Purple
Courtesy of Warner Records and Warner Music UK Ltd.
By arrangement with Warner Music Group Film & TV Licensing"
tt11858890,/title/tt11858890/soundtracks/sn2739961,Love Is Shining,"Written and Performed by Aeryth
Courtesy of Aeryth"
tt11858890,/title/tt11858890/soundtracks/sn2739962,La-La In The Machine,"Written and Performed by Stephanie Olmanni
Courtesy of Stephanie Olmanni"
tt11858890,/title/tt11858890/soundtracks/sn2739963,Counting Song,"Written and Performed by Stephanie Olmanni
Courtesy of Stephanie Olmanni"
tt11858890,/title/tt11858890/soundtracks/sn2739964,Nainainai,"Written by yonkey
Performed by Atarashii Gakko!
Courtesy of Greater Goods LLC"
tt11858890,/title/tt11858890/soundtracks/sn2739965,Hold Your Head Up,"Written by Rod Argent and Chris White
Performed by The Bats
Courtesy of Gallo Record Company"
tt11858890,/title/tt11858890/soundtracks/sn2739966,Kasih Suci,"Written by Carel Simon
Performed by Golden Wing
Courtesy of The Estate of Adhi Mantra"
tt11858890,/title/tt11858890/soundtracks/sn2739967,Hanny,"Written by Adhi Mantra
Performed by Golden Wing
Courtesy of The Estate of Adhi Mantra"
tt11858890,/title/tt11858890/soundtracks/sn2739968,Love I Need You,"Written by Dale McBride and Fran Powers
Performed by Dale McBride
Courtesy of Con Brio Records
By arrangement with Gravelpit Music,
CAPP Records Inc. & Music Supervisor, Inc."
tt11858890,/title/tt11858890/soundtracks/sn2739969,Hari Yang Mulya,"Written by Adhi Mantra
Performed by Golden Wing
Courtesy of The Estate of Adhi Mantra"
tt11858890,/title/tt11858890/soundtracks/sn2739970,Lover's Lane,"Written and Performed by Boris Gardiner
Courtesy of Now-Again Records"
